personaje,enemigo,resultado,id,usuario
PatoRifle,firulais,victoria,776573,admin
PatoEspada,vader,victoria,693646,admin
PatoEspada,firulais,victoria,574159,admin
PatoEspada,firulais,victoria,520221,admin
PatoEspada,firulais,victoria,2862,admin
PatoRifle,firulais,derrota,705210,admin
PatoEspada,akuma,derrota,7284,admin
